AN183	BACSU	LEAF
AN184		DUPLICATION
AN185	BACCR	LEAF
AN186	BACCR	LEAF
AN187	BACCR	LEAF
AN188		DUPLICATION
AN189	Actinomycetales	SPECIATION
AN190		DUPLICATION
AN191	STRCO	LEAF
AN192	STRCO	LEAF
AN193	MYCTU	LEAF
AN194	STRCO	LEAF
AN195	THEMA	LEAF
AN196		DUPLICATION
AN197	DEIRA	LEAF
AN198	DEIRA	LEAF
AN199	GLOVI	LEAF
AN200	LEPIN	LEAF
AN201		DUPLICATION
AN202	BACTN	LEAF
AN203	BACTN	LEAF
AN204	DICTD	LEAF
AN205	Proteobacteria	SPECIATION
AN206	BRADU	LEAF
AN207	Gammaproteobacteria	SPECIATION
AN208	HAEIN	LEAF
AN209	VIBCH	LEAF
AN210	Enterobacteriaceae	SPECIATION
AN211	SALTY	LEAF
AN212	YERPE	LEAF
AN213	ECOLI	LEAF
